"index","eco","title","pgn","last_ply","sq_from","sq_to","sq_check","fen"
"1153","C46","Four knights game","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6","3.  ... Nf6","g8","f6","","r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4"
"1154","C46","Four knights: Schultze-Mueller gambit","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Nxe5","4. Nxe5 ... ","f3","e5","","r1bqkb1r/pppp1ppp/2n2n2/4N3/4P3/2N5/PPPP1PPP/R1BQKB1R b KQkq - 0 4"
"1155","C46","Four knights: Italian Variation","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bc4","4. Bc4 ... ","f1","c4","","r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 5 4"
"1156","C46","Four knights: Gunsberg Variation","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. a3","4. a3 ... ","a2","a3","","r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/P1N2N2/1PPP1PPP/R1BQKB1R b KQkq - 0 4"
"1157","C47","Four knights: Scotch Variation","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. d4","4. d4 ... ","d2","d4","","r1bqkb1r/pppp1ppp/2n2n2/4p3/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 4"
"1158","C47","Four knights: Scotch, Krause Variation","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. d4 Bb4 5. Nxe5","5. Nxe5 ... ","f3","e5","","r1bqk2r/pppp1ppp/2n2n2/4N3/1b1PP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 0 5"
"1159","C47","Four knights: Scotch, 4...exd4","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. d4 exd4","4.  ... exd4","e5","d4","","r1bqkb1r/pppp1ppp/2n2n2/8/3pP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 5"
"1160","C47","Four knights: Belgrade gambit","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. d4 exd4 5. Nd5","5. Nd5 ... ","c3","d5","","r1bqkb1r/pppp1ppp/2n2n2/3N4/3pP3/5N2/PPP2PPP/R1BQKB1R b KQkq - 1 5"
"1161","C48","Four knights: Spanish Variation","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5","4. Bb5 ... ","f1","b5","","r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 5 4"
"1162","C48","Four knights: Ranken Variation","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 a6 5. Bxc6","5. Bxc6 ... ","b5","c6","","r1bqkb1r/1ppp1ppp/p1B2n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 0 5"
